"date","vip_level","population","total_gem_used"
"2014-07-12","2","23250","240188823"
"2014-07-12","3","10816","234066439"
"2014-07-12","4","1103","30673921"
"2014-07-12","5","2244","75957036"
"2014-07-12","6","1418","61065731"
"2014-07-12","7","1586","82592825"
"2014-07-12","8","2350","196841151"
"2014-07-12","9","1269","178432901"
"2014-07-12","10","1277","273093507"
"2014-07-12","11","1233","437129183"
"2014-07-12","12","753","480625160"
"2014-07-12","13","486","847825001"
"2014-07-13","0","2140","861434"
"2014-07-13","1","1777","1979169"
"2014-07-13","2","24341","247366980"
"2014-07-13","3","10923","236732926"
"2014-07-13","4","1077","30576767"
"2014-07-13","5","2269","76752428"
"2014-07-13","6","1421","61623381"
"2014-07-13","7","1609","84148037"
"2014-07-13","8","2375","198889601"
"2014-07-13","9","1254","176596231"
"2014-07-13","10","1302","277294074"
"2014-07-13","11","1238","439527424"
"2014-07-13","12","772","493011114"
"2014-07-13","13","480","837491034"
"2014-07-14","0","3232","794416"
"2014-07-14","1","2119","2143097"
"2014-07-14","2","25585","251009593"
"2014-07-14","3","11116","241135311"
"2014-07-14","4","1097","30959964"
"2014-07-14","5","2276","77313247"
"2014-07-14","6","1432","61993170"
"2014-07-14","7","1614","84651699"
"2014-07-14","8","2393","200360931"
"2014-07-14","9","1253","177072944"
"2014-07-14","10","1317","280644064"
"2014-07-14","11","1264","448623821"
"2014-07-14","12","763","488045183"
"2014-07-14","13","487","862319736"
"2014-07-15","0","2223","734693"
"2014-07-15","1","1785","1970788"
"2014-07-15","2","23858","244075933"
"2014-07-15","3","10901","237818135"
"2014-07-15","4","1091","31253514"
"2014-07-15","5","2233","76003142"
"2014-07-15","6","1401","61540452"
"2014-07-15","7","1594","83062507"
"2014-07-15","8","2379","200324779"
"2014-07-15","9","1270","179267860"
"2014-07-15","10","1292","276423145"
"2014-07-15","11","1244","442864833"
"2014-07-15","12","765","489885590"
"2014-07-15","13","479","845757213"
"2014-07-16","0","2349","766631"
"2014-07-16","1","1597","1641108"
"2014-07-16","2","23520","240954271"
"2014-07-16","3","10816","236591527"
"2014-07-16","4","1064","30252362"
"2014-07-16","5","2259","76881606"
"2014-07-16","6","1420","61535516"
"2014-07-16","7","1589","82677349"
"2014-07-16","8","2356","198673433"
"2014-07-16","9","1246","176024219"
"2014-07-16","10","1307","278945686"
"2014-07-16","11","1246","443513780"
"2014-07-16","12","766","492334117"
"2014-07-16","13","484","857279251"
"2014-07-17","0","2372","726197"
"2014-07-17","1","1963","1934954"
"2014-07-17","2","23286","237840764"
"2014-07-17","3","10681","234453524"
"2014-07-17","4","1055","30048903"
"2014-07-17","5","2211","75024542"
"2014-07-17","6","1423","61685677"
"2014-07-17","7","1563","82160451"
"2014-07-17","8","2332","197043484"
"2014-07-17","9","1227","172987670"
"2014-07-17","10","1307","278411952"
"2014-07-17","11","1233","438612683"
"2014-07-17","12","755","486134937"
"2014-07-17","13","485","861450683"
"2014-07-18","0","2481","797776"
"2014-07-18","1","1828","1910398"
"2014-07-18","2","27284","247393193"
"2014-07-18","3","10698","233701040"
"2014-07-18","4","1046","29834969"
"2014-07-18","5","2219","75676158"
"2014-07-18","6","1404","61311639"
"2014-07-18","7","1568","82397010"
"2014-07-18","8","2311","195647824"
"2014-07-18","9","1209","170164956"
"2014-07-18","10","1296","276107034"
"2014-07-18","11","1242","441605736"
"2014-07-18","12","759","486635444"
"2014-07-18","13","485","856627297"
"2014-07-19","0","2295","748471"
"2014-07-19","1","1719","1775113"
"2014-07-19","2","26735","248564381"
"2014-07-19","3","10684","234645362"
"2014-07-19","4","1052","30016048"
"2014-07-19","5","2237","76065020"
"2014-07-19","6","1392","60586719"
"2014-07-19","7","1570","82818915"
"2014-07-19","8","2333","196999477"
"2014-07-19","9","1243","175155109"
"2014-07-19","10","1306","279134167"
"2014-07-19","11","1244","442263293"
"2014-07-19","12","755","485025934"
"2014-07-19","13","484","845121569"
"2014-07-20","0","2392","839031"
"2014-07-20","1","1909","2171456"
"2014-07-20","2","26793","251682331"
"2014-07-20","3","10866","238448736"
"2014-07-20","4","1081","30670404"
"2014-07-20","5","2251","76798466"
"2014-07-20","6","1405","61171554"
"2014-07-20","7","1575","82908952"
"2014-07-20","8","2316","195311986"
"2014-07-20","9","1235","173461182"
"2014-07-20","10","1305","278489017"
"2014-07-20","11","1267","450720391"
"2014-07-20","12","752","483571844"
"2014-07-20","13","490","858255226"
"2014-07-21","0","2370","916893"
"2014-07-21","1","1676","1855012"
"2014-07-21","2","27253","255117607"
"2014-07-21","3","10862","238049395"
"2014-07-21","4","1075","30840843"
"2014-07-21","5","2287","78322244"
"2014-07-21","6","1413","61424279"
"2014-07-21","7","1579","83359294"
"2014-07-21","8","2372","199656133"
"2014-07-21","9","1249","176139996"
"2014-07-21","10","1310","280293634"
"2014-07-21","11","1268","451535744"
"2014-07-21","12","757","485993115"
"2014-07-21","13","493","880012938"
"2014-07-22","0","2411","920094"
"2014-07-22","1","1615","1819752"
"2014-07-22","2","25612","250391572"
"2014-07-22","3","10799","239901839"
"2014-07-22","4","1076","31141844"
"2014-07-22","5","2263","77405510"
"2014-07-22","6","1384","60776291"
"2014-07-22","7","1594","84452306"
"2014-07-22","8","2342","198890452"
"2014-07-22","9","1248","177496754"
"2014-07-22","10","1305","279686860"
"2014-07-22","11","1253","447925957"
"2014-07-22","12","764","490477929"
"2014-07-22","13","488","846385013"
"2014-07-23","0","2429","1037055"
"2014-07-23","1","1730","1918339"
"2014-07-23","2","22545","240639671"
"2014-07-23","3","10623","238104439"
"2014-07-23","4","1063","30994837"
"2014-07-23","5","2205","76451822"
"2014-07-23","6","1384","60973302"
"2014-07-23","7","1561","82619608"
"2014-07-23","8","2328","198089020"
"2014-07-23","9","1251","177448804"
"2014-07-23","10","1303","280128085"
"2014-07-23","11","1258","450755600"
"2014-07-23","12","760","490275506"
"2014-07-23","13","487","863745362"
"2014-07-24","0","1817","799570"
"2014-07-24","1","1571","1743832"
"2014-07-24","2","22131","235449215"
"2014-07-24","3","10492","235398376"
"2014-07-24","4","1036","30239099"
"2014-07-24","5","2210","76693432"
"2014-07-24","6","1354","60048870"
"2014-07-24","7","1533","81590576"
"2014-07-24","8","2283","193979260"
"2014-07-24","9","1244","176938597"
"2014-07-24","10","1296","278507742"
"2014-07-24","11","1245","446359143"
"2014-07-24","12","759","489284280"
"2014-07-24","13","490","868516525"
"2014-07-25","0","2125","740429"
"2014-07-25","1","1463","1613244"
"2014-07-25","2","21704","231559892"
"2014-07-25","3","10259","231764829"
"2014-07-25","4","1023","29738747"
"2014-07-25","5","2155","75324744"
"2014-07-25","6","1326","58728215"
"2014-07-25","7","1497","79699739"
"2014-07-25","8","2281","193997118"
"2014-07-25","9","1226","173765083"
"2014-07-25","10","1298","279861664"
"2014-07-25","11","1237","441900997"
"2014-07-25","12","768","494583870"
"2014-07-25","13","491","866712501"
"2014-07-26","0","2514","751249"
"2014-07-26","1","1749","1719367"
"2014-07-26","2","21478","232777575"
"2014-07-26","3","10250","231300174"
"2014-07-26","4","1028","30170334"
"2014-07-26","5","2163","75267499"
"2014-07-26","6","1332","59507639"
"2014-07-26","7","1494","79430312"
"2014-07-26","8","2281","194200456"
"2014-07-26","9","1232","174931613"
"2014-07-26","10","1305","280704394"
"2014-07-26","11","1222","436919037"
"2014-07-26","12","780","501858423"
"2014-07-26","13","496","885660429"
"2014-07-27","0","2600","728864"
"2014-07-27","1","1716","1661325"
"2014-07-27","2","21760","234590226"
"2014-07-27","3","10311","232846924"
"2014-07-27","4","1026","30046773"
"2014-07-27","5","2162","75120280"
"2014-07-27","6","1364","60592664"
"2014-07-27","7","1488","79165938"
"2014-07-27","8","2281","194520899"
"2014-07-27","9","1234","174346526"
"2014-07-27","10","1314","282274947"
"2014-07-27","11","1224","437907559"
"2014-07-27","12","768","493082333"
"2014-07-27","13","502","891026018"
"2014-07-28","0","2633","820425"
"2014-07-28","1","1530","1668378"
"2014-07-28","2","22841","240102515"
"2014-07-28","3","10402","234229711"
"2014-07-28","4","1040","30226678"
"2014-07-28","5","2154","75500165"
"2014-07-28","6","1339","59597373"
"2014-07-28","7","1491","79620264"
"2014-07-28","8","2319","197657977"
"2014-07-28","9","1249","176445016"
"2014-07-28","10","1308","281724676"
"2014-07-28","11","1255","448669675"
"2014-07-28","12","765","491297987"
"2014-07-28","13","493","877350156"
"2014-07-29","0","2482","931233"
"2014-07-29","1","1653","1773685"
"2014-07-29","2","20976","229980984"
"2014-07-29","3","10242","232513462"
"2014-07-29","4","1021","30077965"
"2014-07-29","5","2123","74366430"
"2014-07-29","6","1341","59918858"
"2014-07-29","7","1460","78126359"
"2014-07-29","8","2264","193334126"
"2014-07-29","9","1219","173427351"
"2014-07-29","10","1306","281705141"
"2014-07-29","11","1244","445711675"
"2014-07-29","12","758","489180649"
"2014-07-29","13","503","898157893"
"2014-07-30","0","3318","2335762"
"2014-07-30","1","2744","3233831"
"2014-07-30","2","28112","258783420"
"2014-07-30","3","10621","238551790"
"2014-07-30","4","1042","30698853"
"2014-07-30","5","2187","76605816"
"2014-07-30","6","1367","61158093"
"2014-07-30","7","1528","81510950"
"2014-07-30","8","2302","196287644"
"2014-07-30","9","1264","179402237"
"2014-07-30","10","1303","282164683"
"2014-07-30","11","1243","445545994"
"2014-07-30","12","775","498570245"
"2014-07-30","13","509","914556621"
"2014-07-31","0","3061","858178"
"2014-07-31","1","1879","1882590"
"2014-07-31","2","25211","245721555"
"2014-07-31","3","10586","238465579"
"2014-07-31","4","1020","29972333"
"2014-07-31","5","2195","76669780"
"2014-07-31","6","1363","60660834"
"2014-07-31","7","1502","80831261"
"2014-07-31","8","2288","195507774"
"2014-07-31","9","1244","176826899"
"2014-07-31","10","1315","284188812"
"2014-07-31","11","1249","448063491"
"2014-07-31","12","774","497713931"
"2014-07-31","13","508","917177484"
"2014-08-01","0","2373","757473"
"2014-08-01","1","1686","1890371"
"2014-08-01","2","24597","245036481"
"2014-08-01","3","10487","237219367"
"2014-08-01","4","1043","30419000"
"2014-08-01","5","2198","76716435"
"2014-08-01","6","1370","60889931"
"2014-08-01","7","1516","81274373"
"2014-08-01","8","2281","194949634"
"2014-08-01","9","1254","178096987"
"2014-08-01","10","1320","284843113"
"2014-08-01","11","1242","444776142"
"2014-08-01","12","771","495197704"
"2014-08-01","13","506","902046398"
"2014-08-02","0","2922","1134894"
"2014-08-02","1","4423","3898132"
"2014-08-02","2","31610","264911147"
"2014-08-02","3","10564","237891799"
"2014-08-02","4","1036","30334496"
"2014-08-02","5","2194","77181945"
"2014-08-02","6","1368","61242657"
"2014-08-02","7","1540","82745201"
"2014-08-02","8","2308","197984492"
"2014-08-02","9","1242","176234136"
"2014-08-02","10","1333","288668477"
"2014-08-02","11","1234","443670065"
"2014-08-02","12","768","494880077"
"2014-08-02","13","510","913113674"
"2014-08-03","0","2141","713046"
"2014-08-03","1","1856","1991564"
"2014-08-03","2","21294","234640741"
"2014-08-03","3","10203","233033253"
"2014-08-03","4","1041","30399975"
"2014-08-03","5","2166","76152015"
"2014-08-03","6","1349","60821458"
"2014-08-03","7","1499","80698775"
"2014-08-03","8","2246","192698056"
"2014-08-03","9","1222","173786639"
"2014-08-03","10","1318","284385778"
"2014-08-03","11","1233","442468453"
"2014-08-03","12","766","492326749"
"2014-08-03","13","505","913227147"
"2014-08-04","0","2192","872073"
"2014-08-04","1","1667","2098381"
"2014-08-04","2","22958","244780840"
"2014-08-04","3","10377","238799763"
"2014-08-04","4","1027","30643337"
"2014-08-04","5","2164","76842543"
"2014-08-04","6","1336","60665443"
"2014-08-04","7","1483","80189124"
"2014-08-04","8","2272","195729697"
"2014-08-04","9","1221","173625704"
"2014-08-04","10","1315","286895713"
"2014-08-04","11","1235","445423830"
"2014-08-04","12","774","500670661"
"2014-08-04","13","511","918682279"
"2014-08-05","0","2007","871960"
"2014-08-05","1","1452","1861238"
"2014-08-05","2","21189","243621006"
"2014-08-05","3","10241","243029394"
"2014-08-05","4","1036","31300193"
"2014-08-05","5","2162","79005337"
"2014-08-05","6","1340","61735244"
"2014-08-05","7","1491","81966154"
"2014-08-05","8","2242","195468758"
"2014-08-05","9","1222","175959431"
"2014-08-05","10","1306","287375917"
"2014-08-05","11","1250","453134230"
"2014-08-05","12","775","502739862"
"2014-08-05","13","512","920125989"
"2014-08-06","0","2554","683568"
"2014-08-06","1","1482","1687013"
"2014-08-06","2","21151","245189061"
"2014-08-06","3","10191","244368379"
"2014-08-06","4","1031","31510359"
"2014-08-06","5","2117","77463009"
"2014-08-06","6","1327","61693531"
"2014-08-06","7","1477","81032477"
"2014-08-06","8","2270","198865213"
"2014-08-06","9","1230","177333685"
"2014-08-06","10","1314","289812288"
"2014-08-06","11","1232","447487789"
"2014-08-06","12","771","501025192"
"2014-08-06","13","512","921096360"
"2014-08-07","0","2112","712830"
"2014-08-07","1","1552","1738612"
"2014-08-07","2","21481","245614006"
"2014-08-07","3","10200","244063457"
"2014-08-07","4","1008","30774375"
"2014-08-07","5","2135","77865437"
